,key,values
0,ronge,range
1,sask,ask
2,rockyfire,rockyfire
3,hwy,why
4,cafire,afire
5,fvck,fuck
6,tampabay,tampabay
7,bago,ago
8,goooooooaaaaaal,goooooooaaaaaal
9,looooool,ooooooh
10,nyc,ny
11,cooool,cool
12,lhyxeohy6c,lhyxeohy6c
13,bbcmtd,bbcmtd
14,http,help
15,yao1e0xngw,yao1e0xngw
16,rt,it
17,2nndbgwyei,2nndbgwyei
18,africanbaze,africanbaze
19,qqsmshaj3n,qqsmshaj3n
20,phdsquares,phdsquares
21,epl,el
22,mufc,muff
23,3imaomknna,3imaomknna
24,abia,asia
25,inec,ine
26,ûò,i
27,bridgetown,bridgetown
28,wdueaj8q4j,wdueaj8q4j
29,superintende,superintend
30,st,it
31,ûó,i
32,3tj8zjin21,3tj8zjin21
33,nsfw,now
34,lxtjc87kls,lxtjc87kls
35,yduixefipe,yduixefipe
36,roi2nsmejj,roi2nsmejj
37,cfc,cfo
38,ancop,ancor
39,southridgelife,southridgelife
40,o9qknbfofx,o9qknbfofx
41,tiyulif5c6,tiyulif5c6
42,vl5tbr3wbr,vl5tbr3wbr
43,tracklist,blacklist
44,gwnrhmso8k,gwnrhmso8k
45,ev1ahoucza,ev1ahoucza
46,lanford,sanford
47,vplr5hka2u,vplr5hka2u
48,sxhw2tnnlf,sxhw2tnnlf
49,pcxarbh9an,pcxarbh9an
50,carolinaåêablaze,carolinaåêablaze
51,uc4j4jhvgr,uc4j4jhvgr
52,alexis_sanchez,alexis_sanchez
53,turkmen,turkey
54,diyala,dial
55,4izfdyc3cg,4izfdyc3cg
56,8kscqkfkkf,8kscqkfkkf
57,tambo,mambo
58,voortrekker,voortrekker
59,r21,run
60,intl,into
61,https,hates
62,û_,i
63,cyompz1a0z,cyompz1a0z
64,fb,fu
65,9fxmn0l0bd,9fxmn0l0bd
66,icsjgz9te1,icsjgz9te1
67,dvd,did
68,gtxrwm,gtxrwm
69,wmv,wuv
70,9fxpixqujt,9fxpixqujt
71,2k13,2k13
72,7mlmsuzv1z,7mlmsuzv1z
73,jacinta,jacta
74,navista7,nazista
75,news24680,news24680
76,av2jsjfftc,av2jsjfftc
77,nowplaying,downplaying
78,edm,ed
79,rwzbfvnxer,rwzbfvnxer
80,nxwestmidlands,nxwestmidlands
81,nashvilletraffic,nashvilletraffic
82,8m,am
83,0ghk693egj,0ghk693egj
84,bayarea,bagara
85,pmlohzurwr,pmlohzurwr
86,nb,no
87,pkwy,play
88,santaclara,santaclara
89,personalinjury,personalinjury
90,otleyhour,otleyhour
91,gkye6gjtk5,gkye6gjtk5
92,k4zomof319,k4zomof319
93,s2kxvm0cba,s2kxvm0cba
94,caraccidentlawyer,caraccidentlawyer
95,stlouis,louis
96,ybjezkurw1,ybjezkurw1
97,rd,red
98,stephenson,stephens
99,bigrigradio,bigrigradio
100,mooresville,mooresville
101,pm,am
102,iredell,resell
103,sleepjunkies,sleepjunkies
104,7s9nm1fict,7s9nm1fict
105,ysxun5vceh,ysxun5vceh
106,cabrillo,carrillo
107,fortworth,notworth
108,rs22lj4qfp,rs22lj4qfp
109,gt,it
110,truckcrash,truckcrash
111,ld0uniyw4k,ld0uniyw4k
112,sb,so
113,ashville,nashville
114,sr,so
115,hylmo0wgfi,hylmo0wgfi
116,p18lzrlmy6,p18lzrlmy6
117,dr,do
118,horndale,goredale
119,piner,pine
120,nhs,nos
121,magu,mag
122,naayf,navy
123,chandanee,chandanee
124,3a,a
